Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"may 23, 2020",5,7,136,65
"may 26, 2020",91,3,174,60
"may 27, 2020",97,18,195,94
"may 28, 2020",70,12,0,98
"may 29, 2020",76,14,0,132
"may 30, 2020",16,1,0,93
"jun 1, 2020",59,1,0,90
"jun 2, 2020",94,5,0,98
"jun 3, 2020",106,6,0,63
"jun 4, 2020",83,6,0,66
"jun 5, 2020",83,3,0,111
"jun 6, 2020",7,21,0,24
"jun 8, 2020",89,21,0,61
"jun 9, 2020",67,20,0,126
"jun 10, 2020",132,77,0,110
"jun 11, 2020",121,20,0,94
"jun 12, 2020",104,41,0,98
"jun 13, 2020",26,9,0,43
"jun 16, 2020",119,4,0,85
"jun 17, 2020",118,0,150,150
"jun 18, 2020",111,0,157,122
"jun 19, 2020",93,0,154,120
"jun 20, 2020",0,0,121,23
"jun 22, 2020",84,0,8,62
"jun 23, 2020",82,0,26,101
"jun 24, 2020",91,0,15,366
"jun 25, 2020",93,0,13,121
"jun 26, 2020",112,0,30,201
"jun 27, 2020",13,0,21,57
"jun 29, 2020",0,0,0,139
"jun 30, 2020",157,0,35,111
"jul 1, 2020",80,0,14,202
"jul 2, 2020",79,0,17,91
"jul 3, 2020",75,0,23,285
"jul 4, 2020",33,0,0,163
"jul 6, 2020",96,0,7,114
"jul 7, 2020",95,0,21,236
"jul 8, 2020",137,0,10,344
"jul 9, 2020",0,0,0,32
"jul 11, 2020",12,0,0,11
"jul 13, 2020",66,0,20,57
"jul 14, 2020",80,2,12,56
"jul 15, 2020",47,2,68,117
"jul 16, 2020",99,2,38,129
"jul 17, 2020",104,0,72,109
"jul 18, 2020",6,0,3,30
"jul 20, 2020",87,5,55,85
"jul 21, 2020",107,0,29,163
